month,us_layoff_events,us_known_layoff_count,us_ai_layoff_events,us_ai_known_layoff_count,unemployment_rate,jolts_job_openings_k,information_sector_emp_k,computer_math_emp_k,tech_emp_yoy_pct,claims_4w_avg,news_count,avg_sentiment,negative_news,layoff_news,hiring_news,negative_share_pct,us_ai_event_share_pct,us_layoff_events_3m_avg,us_ai_event_share_3m_avg
2020-01-01,0.0,0.0,0.0,0.0,3.6,7124.0,2901.0,4275.0,,215500.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,3.5,6966.0,2910.0,4378.0,,209650.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0
2020-03-01,102.0,7755.0,3.0,230.0,4.4,5894.0,2902.0,5763.0,0.03,778750.0,0.0,,0.0,0.0,0.0,0.0,2.941176470588235,34.0,0.9803921568627451
2020-04-01,87.0,10659.0,14.0,309.0,14.8,4606.0,2643.0,10880.0,-9.064,4936300.0,0.0,,0.0,0.0,0.0,0.0,16.091954022988507,63.0,6.344376831192247
2020-05-01,33.0,6154.0,3.0,17.0,13.199999999999998,5612.0,2609.0,10627.0,-10.18,2913583.3333333335,0.0,,0.0,0.0,0.0,0.0,9.090909090909092,74.0,9.374679861495279
2020-06-01,19.0,2063.0,3.0,70.0,11.0,6129.0,2622.0,9109.0,-2.5620000000000003,1629500.0,0.0,,0.0,0.0,0.0,0.0,15.789473684210526,46.333333333333336,13.657445599369375
2020-07-01,10.0,1436.0,0.0,0.0,10.2,6530.0,2622.0,8418.0,0.242,1431550.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.666666666666668,8.293460925039872
2020-08-01,6.0,1000.0,1.0,0.0,8.4,6429.0,2640.0,7553.0,0.8899999999999999,1058000.0,0.0,,0.0,0.0,0.0,0.0,16.666666666666664,11.666666666666666,10.818713450292398
2020-09-01,3.0,47.0,1.0,0.0,7.8,6511.0,2695.0,6283.0,2.78,875500.0,0.0,,0.0,0.0,0.0,0.0,33.33333333333333,6.333333333333333,16.666666666666664
2020-10-01,5.0,110.0,0.0,0.0,6.900000000000001,6798.0,2684.0,6657.0,1.8999999999999997,807375.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.666666666666667,16.666666666666664
2020-11-01,6.0,172.0,1.0,0.0,6.7,6820.0,2696.0,6635.0,0.45600000000000007,762600.0,0.0,,0.0,0.0,0.0,0.0,16.666666666666664,4.666666666666667,16.666666666666664
2020-12-01,2.0,132.0,2.0,132.0,6.7,6773.0,2712.0,6142.0,0.958,801800.0,0.0,,0.0,0.0,0.0,0.0,100.0,4.333333333333333,38.888888888888886
2021-01-01,4.0,3172.0,0.0,0.0,6.400000000000001,7162.0,2747.0,5948.0,2.0433333333333334,818000.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,38.888888888888886
2021-02-01,1.0,0.0,0.0,0.0,6.2,7827.0,2764.0,6066.0,2.04,791250.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,33.333333333333336
2021-03-01,1.0,0.0,0.0,0.0,6.1,8499.0,2770.0,5784.0,1.1,695750.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2021-04-01,3.0,101.0,0.0,0.0,6.1,9346.0,2796.0,5222.0,1.408,627900.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0
2021-05-01,0.0,0.0,0.0,0.0,5.8,9954.0,2816.0,5245.0,1.748,508950.0,0.0,,0.0,0.0,0.0,0.0,0,1.3333333333333333,0.0
2021-06-01,0.0,0.0,0.0,0.0,5.9,10319.0,2824.0,4651.0,1.3800000000000001,425700.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,5.400000000000001,10983.0,2881.0,4455.0,2.5533333333333332,373500.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0
2021-08-01,2.0,67.0,1.0,30.0,5.1,10872.0,2903.0,4456.0,2.8579999999999997,370700.0,0.0,,0.0,0.0,0.0,0.0,50.0,0.6666666666666666,16.666666666666668
2021-09-01,5.0,161.0,0.0,0.0,4.7,10834.0,2917.0,4476.0,1.658,351450.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,16.666666666666668
2021-10-01,0.0,0.0,0.0,0.0,4.5,11238.0,2938.0,4414.0,1.4666666666666668,324125.0,0.0,,0.0,0.0,0.0,0.0,0,2.3333333333333335,16.666666666666668
2021-11-01,1.0,70.0,1.0,70.0,4.1,11199.0,2957.0,4301.0,1.4680000000000002,253850.0,0.0,,0.0,0.0,0.0,0.0,100.0,2.0,33.333333333333336
2021-12-01,0.0,0.0,0.0,0.0,3.9,11520.0,2967.0,3949.0,1.134,219850.0,0.0,,0.0,0.0,0.0,0.0,0,0.3333333333333333,33.333333333333336
2022-01-01,3.0,510.0,0.0,0.0,4.0,11210.0,2984.0,3720.0,1.174,233650.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,33.333333333333336
2022-02-01,3.0,230.0,0.0,0.0,3.9,11698.0,2990.0,4105.0,0.916,227050.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2022-03-01,5.0,715.0,0.0,0.0,3.7,12301.0,3018.0,4137.0,1.3719999999999999,215250.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0
2022-04-01,14.0,1388.0,0.0,0.0,3.7000000000000006,11861.0,3034.0,4013.0,1.54,212791.66666666666,0.0,,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0
2022-05-01,24.0,1537.0,4.0,460.0,3.6,11535.0,3057.0,4314.0,1.48,213300.0,0.0,,0.0,0.0,0.0,0.0,16.666666666666664,14.333333333333334,5.5555555555555545
2022-06-01,72.0,6050.0,15.0,1987.0,3.6,11283.0,3076.0,3652.0,1.488,208250.0,0.0,,0.0,0.0,0.0,0.0,20.833333333333336,36.666666666666664,12.5
2022-07-01,71.0,4849.0,8.0,278.0,3.5,11576.0,3094.0,3934.0,1.4666666666666668,214375.0,0.0,,0.0,0.0,0.0,0.0,11.267605633802818,55.666666666666664,16.25586854460094
2022-08-01,48.0,4172.0,7.0,1126.0,3.6,10092.0,3097.0,4131.0,0.806,221900.0,0.0,,0.0,0.0,0.0,0.0,14.583333333333334,63.666666666666664,15.561424100156495
2022-09-01,30.0,2872.0,1.0,110.0,3.5,10800.0,3095.0,3869.0,0.148,205550.0,0.0,,0.0,0.0,0.0,0.0,3.3333333333333335,49.666666666666664,9.728090766823161
2022-10-01,43.0,6945.0,9.0,905.0,3.6,10447.0,3100.0,3676.0,0.136,200600.0,0.0,,0.0,0.0,0.0,0.0,20.930232558139537,40.333333333333336,12.948966408268733
2022-11-01,69.0,22681.0,13.0,11544.0,3.6,10632.0,3115.0,3718.0,0.622,205600.0,3.0,-0.031766666666666665,1.0,3.0,0.0,33.33333333333333,18.84057971014493,47.333333333333336,14.368048533872601
2022-12-01,21.0,1447.0,2.0,0.0,3.5,10902.0,3092.0,3891.0,-0.20666666666666667,209958.33333333334,2.0,-0.2787,1.0,2.0,0.0,50.0,9.523809523809524,44.333333333333336,16.431540597364663
2023-01-01,103.0,41855.0,15.0,29345.0,3.5,10318.0,3061.0,4042.0,-1.636,205900.0,3.0,0.016633333333333333,1.0,3.0,0.0,33.33333333333333,14.563106796116504,64.33333333333333,14.309165343356986
2023-02-01,61.0,9370.0,7.0,146.0,3.6,9857.0,3048.0,4042.0,-1.566,208650.0,1.0,0.0,0.0,1.0,0.0,0.0,11.475409836065573,61.666666666666664,11.854108718663866
2023-03-01,42.0,27035.0,8.0,19580.0,3.5,9655.0,3049.0,4076.0,-0.7899999999999999,219150.0,2.0,0.1562,1.0,1.0,1.0,50.0,19.047619047619047,68.66666666666667,15.028711893267042
2023-04-01,34.0,5630.0,7.0,1294.0,3.4,9966.0,3043.0,3882.0,-0.33199999999999996,221600.0,1.0,-0.128,1.0,0.0,1.0,100.0,20.588235294117645,45.666666666666664,17.037088059267422
2023-05-01,29.0,4601.0,1.0,0.0,3.6,9368.0,3034.0,3734.0,-0.47800000000000004,219100.0,1.0,-0.2732,1.0,1.0,0.0,100.0,3.4482758620689653,35.0,14.361376734601889
2023-06-01,49.0,3848.0,6.0,958.0,3.6,9180.0,3021.0,4218.0,-0.8,240600.0,1.0,-0.296,1.0,1.0,0.0,100.0,12.244897959183673,37.333333333333336,12.09380303845676
2023-07-01,36.0,2288.0,9.0,1393.0,3.5,8657.0,3001.0,4009.0,-1.206,239050.0,1.0,0.3794,0.0,0.0,1.0,0.0,25.0,38.0,13.56439127375088
2023-08-01,27.0,2427.0,7.0,540.0,3.7,9254.0,2981.0,4215.0,-1.492,242350.0,1.0,0.2023,0.0,0.0,1.0,0.0,25.925925925925924,37.333333333333336,21.056941295036534
2023-09-01,24.0,2607.0,3.0,312.0,3.7000000000000006,9259.0,2975.0,4088.0,-1.0866666666666667,226958.33333333334,1.0,0.0,0.0,1.0,0.0,0.0,12.5,29.0,21.141975308641975
2023-10-01,27.0,2218.0,2.0,40.0,3.9,8580.0,2951.0,4293.0,-1.142,212000.0,1.0,-0.2732,1.0,1.0,0.0,100.0,7.4074074074074066,26.0,15.277777777777777
2023-11-01,24.0,4109.0,6.0,330.0,3.7,8602.0,2962.0,4008.0,-0.48,217000.0,1.0,-0.2732,1.0,1.0,0.0,100.0,25.0,25.0,14.969135802469134
2023-12-01,20.0,2302.0,1.0,311.0,3.7999999999999994,8520.0,2963.0,4223.0,0.13999999999999999,211250.0,1.0,-0.296,1.0,1.0,0.0,100.0,5.0,23.666666666666668,12.469135802469134
