year,company_type,events,known_layoff_count,known_count_events,companies,avg_layoff_count,median_layoff_count,total_events,total_known_layoff_count,event_share_pct,headcount_share_pct
2020,AI company,36,2472.0,18,36,137.33333333333334,62.0,378,51808.0,9.523809523809524,4.771463866584312
2020,Non-AI company,342,49336.0,256,327,192.71875,69.5,378,51808.0,90.47619047619048,95.22853613341569
2021,AI company,3,120.0,3,3,40.0,30.0,24,6192.0,12.5,1.937984496124031
2021,Non-AI company,21,6072.0,15,21,404.8,180.0,24,6192.0,87.5,98.06201550387597
2022,AI company,103,18391.0,69,97,266.536231884058,65.0,697,82083.0,14.777618364418938,22.405370174092077
2022,Non-AI company,594,63692.0,398,554,160.03015075376885,75.0,697,82083.0,85.22238163558106,77.59462982590793
2023,AI company,117,57875.0,73,108,792.8082191780821,100.0,802,170324.0,14.588528678304238,33.9793569902069
2023,Non-AI company,685,112449.0,409,628,274.9364303178484,100.0,802,170324.0,85.41147132169577,66.0206430097931
2024,AI company,43,6481.0,22,34,294.59090909090907,84.5,333,85104.0,12.912912912912914,7.6153882308704635
2024,Non-AI company,290,78623.0,179,266,439.23463687150837,100.0,333,85104.0,87.08708708708708,92.38461176912953
2025,AI company,37,45261.0,25,27,1810.44,100.0,174,78255.0,21.26436781609195,57.83783783783784
2025,Non-AI company,137,32994.0,90,130,366.6,127.5,174,78255.0,78.73563218390804,42.16216216216216
2026,AI company,16,18430.0,7,16,2632.8571428571427,280.0,62,67527.0,25.806451612903224,27.292786589068076
2026,Non-AI company,46,49097.0,28,45,1753.4642857142858,450.0,62,67527.0,74.19354838709677,72.70721341093193
