year,company_type,events,known_count_events,layoff_count,avg_layoff_count,median_layoff_count,companies,total_events,total_layoff_count,event_share_pct,headcount_share_pct,known_count_coverage_pct
2020,AI company,36,18,2472.0,137.3,62.0,36,378,51808.0,9.5,4.8,50.0
2020,Non-AI company,342,256,49336.0,192.7,69.5,327,378,51808.0,90.5,95.2,74.9
2021,AI company,3,3,120.0,40.0,30.0,3,24,6192.0,12.5,1.9,100.0
2021,Non-AI company,21,15,6072.0,404.8,180.0,21,24,6192.0,87.5,98.1,71.4
2022,AI company,103,69,18391.0,266.5,65.0,97,697,82083.0,14.8,22.4,67.0
2022,Non-AI company,594,398,63692.0,160.0,75.0,554,697,82083.0,85.2,77.6,67.0
2023,AI company,117,73,57875.0,792.8,100.0,108,802,170324.0,14.6,34.0,62.4
2023,Non-AI company,685,409,112449.0,274.9,100.0,628,802,170324.0,85.4,66.0,59.7
2024,AI company,43,22,6481.0,294.6,84.5,34,333,85104.0,12.9,7.6,51.2
2024,Non-AI company,290,179,78623.0,439.2,100.0,266,333,85104.0,87.1,92.4,61.7
2025,AI company,37,25,45261.0,1810.4,100.0,27,174,78255.0,21.3,57.8,67.6
2025,Non-AI company,137,90,32994.0,366.6,127.5,130,174,78255.0,78.7,42.2,65.7
2026,AI company,16,7,18430.0,2632.9,280.0,16,62,67527.0,25.8,27.3,43.8
2026,Non-AI company,46,28,49097.0,1753.5,450.0,45,62,67527.0,74.2,72.7,60.9
