country_clean,events,known_count_events,layoff_count,avg_layoff_count,median_layoff_count,companies,event_share_pct,headcount_share_pct,known_count_coverage_pct
United States,1527,955,374498.0,392.1,90.0,1152,61.8,69.2,62.5
India,195,153,35124.0,229.6,150.0,156,7.9,6.5,78.5
Canada,98,66,6017.0,91.2,43.5,80,4.0,1.1,67.3
United Kingdom,95,52,17820.0,342.7,75.5,84,3.8,3.3,54.7
Germany,91,67,26290.0,392.4,73.0,72,3.7,4.9,73.6
Israel,85,61,7999.0,131.1,50.0,70,3.4,1.5,71.8
Brazil,47,39,5047.0,129.4,83.0,37,1.9,0.9,83.0
Australia,45,25,3296.0,131.8,50.0,40,1.8,0.6,55.6
Singapore,31,17,3916.0,230.4,65.0,27,1.3,0.7,54.8
Sweden,27,23,17727.0,770.7,100.0,17,1.1,3.3,85.2
Nigeria,24,16,2040.0,127.5,41.5,20,1.0,0.4,66.7
China,22,10,4115.0,411.5,250.0,20,0.9,0.8,45.5
Indonesia,22,10,1681.0,168.1,147.0,20,0.9,0.3,45.5
Netherlands,17,11,19700.0,1790.9,800.0,15,0.7,3.6,64.7
France,17,11,1338.0,121.6,64.0,13,0.7,0.2,64.7
Mexico,8,4,450.0,112.5,95.0,7,0.3,0.1,50.0
Spain,7,5,521.0,104.2,89.0,5,0.3,0.1,71.4
Ireland,7,7,585.0,83.6,85.0,7,0.3,0.1,100.0
Kenya,6,3,844.0,281.3,283.0,5,0.2,0.2,50.0
Austria,6,5,710.0,142.0,100.0,4,0.2,0.1,83.3
Argentina,6,5,323.0,64.6,53.0,6,0.2,0.1,83.3
Colombia,5,2,130.0,65.0,65.0,5,0.2,0.0,40.0
Finland,5,2,320.0,160.0,160.0,5,0.2,0.1,40.0
Japan,4,2,4085.0,2042.5,2042.5,4,0.2,0.8,50.0
Estonia,4,3,274.0,91.3,101.0,3,0.2,0.1,75.0
Denmark,4,4,455.0,113.8,70.0,4,0.2,0.1,100.0
Switzerland,4,2,406.0,203.0,203.0,3,0.2,0.1,50.0
New Zealand,4,3,270.0,90.0,45.0,3,0.2,0.0,75.0
Poland,4,2,370.0,185.0,185.0,4,0.2,0.1,50.0
Uruguay,3,3,404.0,134.7,70.0,2,0.1,0.1,100.0
Luxembourg,3,1,45.0,45.0,45.0,3,0.1,0.0,33.3
Czech Republic,3,3,566.0,188.7,216.0,2,0.1,0.1,100.0
United Arab E…,3,3,459.0,153.0,50.0,3,0.1,0.1,100.0
Norway,3,2,250.0,125.0,125.0,3,0.1,0.0,66.7
Vietnam,2,0,0.0,,,2,0.1,0.0,0.0
Hong Kong,2,1,300.0,300.0,300.0,2,0.1,0.1,50.0
Lithuania,2,0,0.0,,,2,0.1,0.0,0.0
Belgium,2,1,50.0,50.0,50.0,2,0.1,0.0,50.0
UAE,2,1,93.0,93.0,93.0,2,0.1,0.0,50.0
South Korea,2,2,395.0,197.5,197.5,2,0.1,0.1,100.0
Seychelles,2,0,0.0,,,2,0.1,0.0,0.0
nan,2,1,55.0,55.0,55.0,2,0.1,0.0,50.0
Cayman Islands,2,2,1060.0,530.0,530.0,2,0.1,0.2,100.0
Portugal,2,1,66.0,66.0,66.0,2,0.1,0.0,50.0
Romania,2,1,80.0,80.0,80.0,2,0.1,0.0,50.0
Italy,1,0,0.0,,,1,0.0,0.0,0.0
Hungary,1,0,0.0,,,1,0.0,0.0,0.0
Ghana,1,0,0.0,,,1,0.0,0.0,0.0
Egypt,1,0,0.0,,,1,0.0,0.0,0.0
Chile,1,0,0.0,,,1,0.0,0.0,0.0
Malta,1,1,29.0,29.0,29.0,1,0.0,0.0,100.0
Malaysia,1,0,0.0,,,1,0.0,0.0,0.0
Pakistan,1,0,0.0,,,1,0.0,0.0,0.0
Senegal,1,1,300.0,300.0,300.0,1,0.0,0.1,100.0
Saudi Arabia,1,1,340.0,340.0,340.0,1,0.0,0.1,100.0
Russia,1,1,400.0,400.0,400.0,1,0.0,0.1,100.0
Peru,1,0,0.0,,,1,0.0,0.0,0.0
Philippines,1,0,0.0,,,1,0.0,0.0,0.0
South Africa,1,0,0.0,,,1,0.0,0.0,0.0
Turkey,1,0,0.0,,,1,0.0,0.0,0.0
Ukraine,1,1,50.0,50.0,50.0,1,0.0,0.0,100.0
