country_clean,events,known_count_events,layoff_count,avg_layoff_count,median_layoff_count,companies,event_share_pct,headcount_share_pct,known_count_coverage_pct,country_name_clean,first_year,last_year,unemployment_first,unemployment_last,youth_unemployment_first,youth_unemployment_last,unemployment_change_pp,youth_unemployment_change_pp
United States,1527,955,374498.0,392.1,90.0,1152,61.8,69.2,62.5,United States,2020,2025,8.055,4.198,14.891,9.34,-3.8569999999999993,-5.551
India,195,153,35124.0,229.6,150.0,156,7.9,6.5,78.5,India,2020,2025,7.859,4.219,24.666,16.022,-3.6399999999999997,-8.644000000000002
Canada,98,66,6017.0,91.2,43.5,80,4.0,1.1,67.3,Canada,2020,2025,9.657,6.907,20.125,13.8,-2.75,-6.324999999999999
United Kingdom,95,52,17820.0,342.7,75.5,84,3.8,3.3,54.7,United Kingdom,2020,2025,4.472,4.746,13.365,14.647,0.274,1.282
Germany,91,67,26290.0,392.4,73.0,72,3.7,4.9,73.6,Germany,2020,2025,3.881,3.711,7.862,6.862,-0.16999999999999993,-1.0
Israel,85,61,7999.0,131.1,50.0,70,3.4,1.5,71.8,Israel,2020,2025,4.169,3.489,7.645,6.032,-0.6799999999999997,-1.6129999999999995
Brazil,47,39,5047.0,129.4,83.0,37,1.9,0.9,83.0,Brazil,2020,2025,13.697,5.97,30.267,13.981,-7.726999999999999,-16.286
Australia,45,25,3296.0,131.8,50.0,40,1.8,0.6,55.6,Australia,2020,2025,6.394,4.09,14.142,9.61,-2.3040000000000003,-4.532
Singapore,31,17,3916.0,230.4,65.0,27,1.3,0.7,54.8,Singapore,2020,2025,4.1,2.818,10.558,6.781,-1.2819999999999996,-3.777
Sweden,27,23,17727.0,770.7,100.0,17,1.1,3.3,85.2,Sweden,2020,2025,8.291,8.694,23.891,24.312,0.40300000000000047,0.4210000000000029
Nigeria,24,16,2040.0,127.5,41.5,20,1.0,0.4,66.7,Nigeria,2020,2025,5.714,3.064,10.842,5.34,-2.6500000000000004,-5.502000000000001
China,22,10,4115.0,411.5,250.0,20,0.9,0.8,45.5,China,2020,2025,5.0,4.615,12.65,15.795,-0.3849999999999998,3.1449999999999996
Indonesia,22,10,1681.0,168.1,147.0,20,0.9,0.3,45.5,Indonesia,2020,2025,4.255,3.237,14.773,12.977,-1.0179999999999998,-1.7959999999999994
Netherlands,17,11,19700.0,1790.9,800.0,15,0.7,3.6,64.7,Netherlands,2020,2025,3.82,3.874,8.879,8.833,0.05400000000000027,-0.045999999999999375
France,17,11,1338.0,121.6,64.0,13,0.7,0.2,64.7,France,2020,2025,8.009,7.542,20.398,18.89,-0.4670000000000005,-1.5079999999999991
Mexico,8,4,450.0,112.5,95.0,7,0.3,0.1,50.0,Mexico,2020,2025,4.44,2.673,8.053,5.714,-1.7670000000000003,-2.3390000000000004
Japan,4,2,4085.0,2042.5,2042.5,4,0.2,0.8,50.0,Japan,2020,2025,2.809,2.451,4.679,3.898,-0.3580000000000001,-0.7810000000000001
South Korea,2,2,395.0,197.5,197.5,2,0.1,0.1,100.0,South Korea,2020,2025,3.931,2.683,10.143,6.695,-1.2480000000000002,-3.4480000000000004
South Africa,1,0,0.0,,,1,0.0,0.0,0.0,South Africa,2020,2025,29.217,32.391,59.607,59.93,3.1739999999999995,0.3230000000000004
