year,country_clean,events,layoff_count,country_name_clean,unemployment_rate_pct,youth_unemployment_pct,employment_to_pop_pct
2020,Australia,3,66.0,Australia,6.394,14.142,60.87
2020,Brazil,12,1052.0,Brazil,13.697,30.267,52.195
2020,Canada,18,690.0,Canada,9.657,20.125,57.907
2020,China,2,0.0,China,5.0,12.65,62.435
2020,Germany,5,280.0,Germany,3.881,7.862,58.131
2020,India,27,10461.0,India,7.859,24.666,47.496
2020,Israel,4,80.0,Israel,4.169,7.645,60.763
2020,Nigeria,1,391.0,Nigeria,5.714,10.842,74.782
2020,Singapore,6,2219.0,Singapore,4.1,10.558,65.895
2020,United Kingdom,10,1405.0,United Kingdom,4.472,13.365,59.775
2020,United States,273,29528.0,United States,8.055,14.891,56.598
2021,Germany,1,300.0,Germany,3.594,6.665,58.224
2021,India,4,2280.0,India,6.38,20.824,49.171
2021,Singapore,1,21.0,Singapore,4.64,9.499,67.406
2021,United Kingdom,1,20.0,United Kingdom,4.864,12.891,58.959
2021,United States,17,3571.0,United States,5.349,9.704,58.211
2022,Australia,20,606.0,Australia,3.728,8.468,64.396
2022,Brazil,21,2520.0,Brazil,9.231,20.732,57.663
2022,Canada,34,2400.0,Canada,5.279,10.082,61.802
2022,China,9,630.0,China,4.98,14.673,62.523
2022,Germany,32,2242.0,Germany,3.137,6.049,58.926
2022,India,41,6848.0,India,4.822,17.732,51.003
2022,Israel,21,950.0,Israel,3.695,6.719,62.346
2022,Nigeria,6,997.0,Nigeria,3.827,6.024,78.158
2022,Singapore,9,285.0,Singapore,3.591,7.924,67.23
2022,Sweden,10,1597.0,Sweden,7.417,21.597,59.77
2022,United Kingdom,29,821.0,United Kingdom,3.768,10.589,59.573
2022,United States,403,53396.0,United States,3.65,8.105,59.538
2023,Australia,17,354.0,Australia,3.668,8.388,64.565
2023,Brazil,13,1075.0,Brazil,7.947,17.938,57.915
2023,Canada,27,1333.0,Canada,5.415,10.806,61.822
2023,China,9,2485.0,China,4.67,15.562,62.756
2023,Germany,34,13029.0,Germany,3.071,6.02,59.175
2023,India,78,9001.0,India,4.172,15.595,52.415
2023,Israel,18,1067.0,Israel,3.371,5.873,62.862
2023,Nigeria,8,204.0,Nigeria,3.074,5.131,80.021
2023,Singapore,9,1079.0,Singapore,3.444,8.515,67.004
2023,Sweden,7,9595.0,Sweden,7.611,21.941,59.989
2023,United Kingdom,37,8836.0,United Kingdom,4.025,11.944,59.323
2023,United States,476,108290.0,United States,3.638,7.953,59.821
2024,Australia,1,60.0,Australia,3.942,9.408,64.089
2024,Canada,11,1371.0,Canada,6.351,13.276,60.627
2024,China,2,1000.0,China,4.59,15.044,61.931
2024,Germany,11,9924.0,Germany,3.4,6.604,58.849
2024,India,23,2759.0,India,4.173,15.746,53.317
2024,Israel,19,2217.0,Israel,3.595,6.163,63.14
2024,Nigeria,5,128.0,Nigeria,3.045,5.088,80.053
2024,Singapore,5,312.0,Singapore,2.737,6.329,67.308
2024,Sweden,5,1920.0,Sweden,8.4,24.336,59.298
2024,United Kingdom,10,5461.0,United Kingdom,4.361,14.316,58.871
2024,United States,216,54283.0,United States,4.022,8.92,59.467
2025,Australia,3,210.0,Australia,4.09,9.61,63.816
2025,Canada,6,223.0,Canada,6.907,13.8,60.061
2025,Germany,5,365.0,Germany,3.711,6.862,58.323
2025,India,19,2575.0,India,4.219,16.022,53.31
2025,Israel,15,2120.0,Israel,3.489,6.032,63.204
2025,Nigeria,3,320.0,Nigeria,3.064,5.34,79.988
2025,Sweden,3,3000.0,Sweden,8.694,24.312,58.979
2025,United Kingdom,5,40.0,United Kingdom,4.746,14.647,58.457
2025,United States,108,68080.0,United States,4.198,9.34,59.114
