year,country_clean,events,layoff_count
2020,Australia,3,66.0
2020,Brazil,12,1052.0
2020,Canada,18,690.0
2020,China,2,0.0
2020,Germany,5,280.0
2020,India,27,10461.0
2020,Israel,4,80.0
2020,Nigeria,1,391.0
2020,Singapore,6,2219.0
2020,United Kingdom,10,1405.0
2020,United States,273,29528.0
2021,Germany,1,300.0
2021,India,4,2280.0
2021,Singapore,1,21.0
2021,United Kingdom,1,20.0
2021,United States,17,3571.0
2022,Australia,20,606.0
2022,Brazil,21,2520.0
2022,Canada,34,2400.0
2022,China,9,630.0
2022,Germany,32,2242.0
2022,India,41,6848.0
2022,Israel,21,950.0
2022,Nigeria,6,997.0
2022,Singapore,9,285.0
2022,Sweden,10,1597.0
2022,United Kingdom,29,821.0
2022,United States,403,53396.0
2023,Australia,17,354.0
2023,Brazil,13,1075.0
2023,Canada,27,1333.0
2023,China,9,2485.0
2023,Germany,34,13029.0
2023,India,78,9001.0
2023,Israel,18,1067.0
2023,Nigeria,8,204.0
2023,Singapore,9,1079.0
2023,Sweden,7,9595.0
2023,United Kingdom,37,8836.0
2023,United States,476,108290.0
2024,Australia,1,60.0
2024,Canada,11,1371.0
2024,China,2,1000.0
2024,Germany,11,9924.0
2024,India,23,2759.0
2024,Israel,19,2217.0
2024,Nigeria,5,128.0
2024,Singapore,5,312.0
2024,Sweden,5,1920.0
2024,United Kingdom,10,5461.0
2024,United States,216,54283.0
2025,Australia,3,210.0
2025,Canada,6,223.0
2025,Germany,5,365.0
2025,India,19,2575.0
2025,Israel,15,2120.0
2025,Nigeria,3,320.0
2025,Sweden,3,3000.0
2025,United Kingdom,5,40.0
2025,United States,108,68080.0
2026,Australia,1,2000.0
2026,Brazil,1,400.0
2026,Canada,2,0.0
2026,Germany,3,150.0
2026,India,3,1200.0
2026,Israel,8,1565.0
2026,Nigeria,1,0.0
2026,Singapore,1,0.0
2026,Sweden,2,1615.0
2026,United Kingdom,3,1237.0
2026,United States,34,57350.0
