industry_clean,events,known_count_events,layoff_count,avg_layoff_count,median_layoff_count,companies,ai_events,event_share_pct,headcount_share_pct,known_count_coverage_pct,ai_event_share_pct
Finance,288,196,33927.0,173.1,64.0,239,4,11.7,6.3,68.1,1.4
Retail,216,144,79301.0,550.7,100.0,165,27,8.7,14.7,66.7,12.5
Healthcare,184,110,27312.0,248.3,81.0,148,3,7.4,5.0,59.8,1.6
Other,165,104,86943.0,836.0,100.0,129,10,6.7,16.1,63.0,6.1
Consumer,163,104,49811.0,479.0,130.0,114,18,6.6,9.2,63.8,11.0
Food,162,98,37765.0,385.4,130.5,117,3,6.6,7.0,60.5,1.9
Transportation,157,104,42157.0,405.4,120.0,109,4,6.4,7.8,66.2,2.5
Marketing,119,79,8792.0,111.3,50.0,102,7,4.8,1.6,66.4,5.9
Real Estate,99,63,9286.0,147.4,100.0,69,1,4.0,1.7,63.6,1.0
Media,94,59,5600.0,94.9,60.0,68,2,3.8,1.0,62.8,2.1
Crypto,88,48,7808.0,162.7,64.0,76,88,3.6,1.4,54.5,100.0
Education,80,48,6904.0,143.8,110.0,63,1,3.2,1.3,60.0,1.2
Security,73,54,6301.0,116.7,74.0,63,73,3.0,1.2,74.0,100.0
Data,68,40,5404.0,135.1,72.5,63,68,2.8,1.0,58.8,100.0
Travel,65,43,15338.0,356.7,109.0,47,2,2.6,2.8,66.2,3.1
HR,62,44,7267.0,165.2,54.5,54,0,2.5,1.3,71.0,0.0
Hardware,49,34,54784.0,1611.3,275.5,31,14,2.0,10.1,69.4,28.6
Infrastructu…,46,26,13170.0,506.5,53.5,36,2,1.9,2.4,56.5,4.3
Sales,37,27,8921.0,330.4,90.0,26,4,1.5,1.6,73.0,10.8
Logistics,37,24,4633.0,193.0,65.0,28,1,1.5,0.9,64.9,2.7
Product,35,18,996.0,55.3,23.5,29,1,1.4,0.2,51.4,2.9
Support,31,24,2532.0,105.5,100.0,23,3,1.3,0.5,77.4,9.7
Recruiting,30,21,3704.0,176.4,90.0,22,0,1.2,0.7,70.0,0.0
Energy,28,17,7721.0,454.2,120.0,23,0,1.1,1.4,60.7,0.0
Fitness,24,16,2671.0,166.9,110.0,19,0,1.0,0.5,66.7,0.0
AI,16,11,765.0,69.5,40.0,15,16,0.6,0.1,68.8,100.0
Aerospace,14,11,3205.0,291.4,115.0,12,2,0.6,0.6,78.6,14.3
Construction,13,5,950.0,190.0,180.0,11,0,0.5,0.2,38.5,0.0
Manufactur…,13,11,6618.0,601.6,100.0,13,0,0.5,1.2,84.6,0.0
Legal,12,8,672.0,84.0,82.5,11,1,0.5,0.1,66.7,8.3
Unknown,2,1,35.0,35.0,35.0,2,0,0.1,0.0,50.0,0.0
