month,layoff_events,known_layoff_count,known_count_events,companies,unemployment_rate,jolts_job_openings_k,initial_jobless_claims_k,information_sector_emp_k,computer_math_emp_k,financial_emp_k,openings_per_unemployed,tech_emp_yoy_pct,claims_4w_avg,news_count,avg_sentiment,negative_news,positive_news,layoff_news,hiring_news,negative_share_pct,layoff_events_3m_avg,known_layoff_count_3m_avg,claims_4w_avg_k,initial_jobless_claims_k_scaled
2020-01-01,0.0,0.0,0.0,0.0,3.6,7124.0,215500.0,2901.0,4275.0,8833.0,1978.889,,215500.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.5,215.5
2020-02-01,0.0,0.0,0.0,0.0,3.5,6966.0,210200.0,2910.0,4378.0,8872.0,1990.286,,209650.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.65,210.2
2020-03-01,102.0,7755.0,77.0,101.0,4.4,5894.0,1911200.0,2902.0,5763.0,8855.0,1339.545,0.03,778750.0,0.0,,0.0,0.0,0.0,0.0,0.0,34.0,2585.0,778.75,1911.2
2020-04-01,87.0,10659.0,61.0,87.0,14.8,4606.0,4919800.0,2643.0,10880.0,8592.0,311.216,-9.064,4936300.0,0.0,,0.0,0.0,0.0,0.0,0.0,63.0,6138.0,4936.3,4919.8
2020-05-01,33.0,6154.0,26.0,33.0,13.199999999999998,5612.0,2385500.0,2609.0,10627.0,8607.0,425.152,-10.18,2913583.3333333335,0.0,,0.0,0.0,0.0,0.0,0.0,74.0,8189.333333333333,2913.5833333333335,2385.5
2020-06-01,19.0,2063.0,12.0,19.0,11.0,6129.0,1520000.0,2622.0,9109.0,8622.0,557.182,-2.5620000000000003,1629500.0,0.0,,0.0,0.0,0.0,0.0,0.0,46.333333333333336,6292.0,1629.5,1520.0
2020-07-01,10.0,1436.0,7.0,10.0,10.2,6530.0,1396000.0,2622.0,8418.0,8623.0,640.196,0.242,1431550.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.666666666666668,3217.6666666666665,1431.55,1396.0
2020-08-01,6.0,1000.0,1.0,6.0,8.4,6429.0,922400.0,2640.0,7553.0,8649.0,765.357,0.8899999999999999,1058000.0,0.0,,0.0,0.0,0.0,0.0,0.0,11.666666666666666,1499.6666666666667,1058.0,922.4
2020-09-01,3.0,47.0,1.0,3.0,7.8,6511.0,857600.0,2695.0,6283.0,8674.0,834.744,2.78,875500.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.333333333333333,827.6666666666666,875.5,857.6
2020-10-01,5.0,110.0,3.0,5.0,6.900000000000001,6798.0,795333.3333333334,2684.0,6657.0,8691.0,985.217,1.8999999999999997,807375.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.666666666666667,385.6666666666667,807.375,795.3333333333334
2020-11-01,6.0,172.0,2.0,6.0,6.7,6820.0,755600.0,2696.0,6635.0,8706.0,1017.9100000000001,0.45600000000000007,762600.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.666666666666667,109.66666666666667,762.6,755.6
2020-12-01,2.0,132.0,2.0,2.0,6.7,6773.0,816800.0,2712.0,6142.0,8718.0,1010.896,0.958,801800.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.333333333333333,138.0,801.8,816.8
