metric,relation,correlation_with_layoff_events
initial_jobless_claims_k,same_month,0.314
initial_jobless_claims_k,metric_leads_1m,0.023
initial_jobless_claims_k,layoffs_lead_1m,0.357
claims_4w_avg,same_month,0.232
claims_4w_avg,metric_leads_1m,-0.049
claims_4w_avg,layoffs_lead_1m,0.399
jolts_job_openings_k,same_month,0.103
jolts_job_openings_k,metric_leads_1m,0.21
jolts_job_openings_k,layoffs_lead_1m,0.038
openings_per_unemployed,same_month,0.272
openings_per_unemployed,metric_leads_1m,0.427
openings_per_unemployed,layoffs_lead_1m,0.165
information_sector_emp_k,same_month,0.399
information_sector_emp_k,metric_leads_1m,0.52
information_sector_emp_k,layoffs_lead_1m,0.253
computer_math_emp_k,same_month,0.019
computer_math_emp_k,metric_leads_1m,-0.207
computer_math_emp_k,layoffs_lead_1m,0.195
tech_emp_yoy_pct,same_month,-0.371
tech_emp_yoy_pct,metric_leads_1m,-0.149
tech_emp_yoy_pct,layoffs_lead_1m,-0.603
avg_sentiment,same_month,0.168
avg_sentiment,metric_leads_1m,-0.138
avg_sentiment,layoffs_lead_1m,0.286
negative_share_pct,same_month,0.158
negative_share_pct,metric_leads_1m,0.17
negative_share_pct,layoffs_lead_1m,0.083
news_count,same_month,-0.076
news_count,metric_leads_1m,-0.056
news_count,layoffs_lead_1m,-0.062
